[0.0s - 2.3s] 由于我想看懂K线图背后的故事
[2.3s - 4.3s] 于是我外扣定了一个应用
[4.3s - 7.1s] K线图上面的点就是对应日期的新闻事件
[7.1s - 9.2s] 点击上面任意代表新闻的点
[9.2s - 11.7s] 就可以看到当时影响这家公司的新闻
[11.7s - 14.0s] 还可以根据影响的类型来查看
[14.0s - 17.8s] 比如市场的业绩的产品的
[17.8s - 19.4s] 甚至管理层的影响
[19.4s - 22.0s] 我们甚至可以点击某一个影响的类型
[22.0s - 24.7s] 然后查看相关的利空新闻
[24.7s - 26.0s] 比如这里我们发现
[26.0s - 29.4s] 关税政策是当时导致苹果利空的重要因素之一
[29.4s - 32.5s] 同时还可以查看对应相似的新闻事件的日子
[32.5s - 35.2s] 我们还可以查看利好的相关新闻
[35.2s - 38.7s] 比如这里认为在AI时代还会是巨头的时代
[38.7s - 41.6s] 同时我们还可以切换不同的公司来查看
[41.6s - 43.7s] 比如查看谷歌的
[43.7s - 46.4s] 比如查看英伟达的
[46.4s - 47.6s] 或者特斯拉的
[47.6s - 50.0s] 我们还可以框选一个区间
[50.0s - 52.5s] 然后问AI为什么跌了
[52.5s - 55.0s] AI会告诉我们当时发生了什么
[55.0s - 56.9s] 是什么事件导致的
[56.9s - 60.0s] 同时的话还可以根据以往30天的新闻事件
[60.0s - 63.2s] 来预测这些事件会影响接下来的涨跌趋势
[63.2s - 64.6s] 作为股票小白
[64.6s - 66.0s] 新闻太碎片化
[66.0s - 67.3s] 一直不理解为什么涨
[67.3s - 68.9s] 或者为什么跌
[68.9s - 72.3s] 做这个就是帮助自己建立事件驱动的思维
[72.3s - 74.7s] 看到每一次涨跌背后的为什么
[74.7s - 76.8s] 希望也许对大家有所帮助
